"date","close","volume","open","high","low"
"20180427","294.0750","4346854.0000","285.3700","294.4700","283.8300"
"20180426","285.4800","4348108.0000","278.7500","285.7900","276.5000"
"20180425","280.6900","4000421.0000","283.5000","285.1600","277.2500"
"20180424","283.4600","5678242.0000","285.0000","287.0900","278.4600"
"20180423","283.3700","4880743.0000","291.2900","291.6200","282.3300"
"20180420","290.2400","5622630.0000","295.1700","299.9800","289.7500"
"20180419","300.0800","6083800.0000","291.0800","301.0100","288.5500"
"20180418","293.3500","6531563.0000","291.0800","300.2400","288.1600"
"20180417","287.6900","6931152.0000","288.8700","292.1700","282.5100"
"20180416","291.2100","6289497.0000","299.0000","299.6600","289.0100"
"20180413","300.3400","7319225.0000","303.6000","303.9499","295.9800"
"20180412","294.0800","7595525.0000","302.3200","303.9500","293.6800"
"20180411","300.9300","7470204.0000","300.7400","308.9800","299.6600"
"20180410","304.7000","11017010.0000","298.9700","307.1000","293.6800"
"20180409","289.6600","10241410.0000","300.3700","309.5000","289.2100"
"20180406","299.3000","13516530.0000","301.0000","309.2800","295.5000"
"20180405","305.7200","19025860.0000","289.3400","306.2600","288.2000"
"20180404","286.9400","19880180.0000","252.7800","288.3700","252.0000"
"20180403","267.5300","18829650.0000","269.8200","273.3500","254.4900"
"20180402","252.4800","16093290.0000","256.2600","260.3318","244.5901"
"20180329","266.1300","15014440.0000","256.4900","270.9599","248.2100"
"20180328","257.7800","20962280.0000","264.5800","268.6800","252.1000"
"20180327","279.1800","13787060.0000","304.0000","304.2700","277.1800"
"20180326","304.1800","8364937.0000","307.3400","307.5900","291.3600"
"20180323","301.5400","6639960.0000","311.2500","311.6100","300.4500"
"20180322","309.1000","4924928.0000","313.8900","318.8200","308.1800"
"20180321","316.5300","5954247.0000","310.2500","322.4400","310.1900"
"20180320","310.5500","4761031.0000","314.8700","316.2500","308.7600"
"20180319","313.5600","7467890.0000","316.5000","320.7500","309.6700"
"20180316","321.3500","6113365.0000","325.9600","327.4000","319.0700"
"20180315","325.6000","6554568.0000","329.3800","332.8500","321.1000"
"20180314","326.6300","7952152.0000","336.7600","339.8100","323.9300"
"20180313","341.8400","5960636.0000","344.9200","345.1200","336.2635"
"20180312","345.5100","8252919.0000","328.6100","347.2100","326.5000"
"20180309","327.1700","5502779.0000","324.1000","328.4900","322.3700"
"20180308","329.1000","3514367.0000","332.8600","333.3000","326.2740"
"20180307","332.3000","5001940.0000","325.4400","332.5000","321.7400"
"20180306","328.2000","4236483.0000","333.7500","336.3700","327.0300"
"20180305","333.3500","3820702.0000","332.3900","337.7500","329.2929"
"20180302","335.1200","5088789.0000","326.9800","335.2200","322.9700"
"20180301","330.9300","6872552.0000","345.0100","348.6700","330.0700"
"20180228","343.0600","6066044.0000","352.5700","355.2400","342.2200"
"20180227","350.9900","4785022.0000","356.2500","359.9900","350.0100"
"20180226","357.4200","4334500.0000","353.5000","359.0000","352.3550"
"20180223","352.0500","5814177.0000","347.8300","354.9900","347.1000"
"20180222","346.1700","6961880.0000","335.5300","347.4400","334.7501"
"20180221","333.3000","3207250.0000","336.0300","339.6929","333.1700"
"20180220","334.7700","4005962.0000","334.4700","340.8400","331.5000"
"20180216","335.4900","5640184.0000","332.5000","343.1200","331.6400"
"20180215","334.0650","5909823.0000","324.5000","334.1200","322.4000"
